ID,Area,Length,bijiang,H10P,H60P,H360P,rainfall,Density,Du
1,46.3,11.7,195.9,3.9,11.7,31.65,1.734036488,1.61,2.37
2,46.3,11.7,195.9,3.9,11.7,31.65,6.43899401,1.61,2.37
3,46.3,11.7,195.9,3.9,11.7,31.65,4.868471817,1.61,2.37
4,46.3,11.7,195.9,3.9,11.7,31.65,2.711604971,1.61,2.37
5,46.3,11.7,195.9,3.9,11.7,31.65,1.041873554,1.61,2.37
6,46.3,11.7,195.9,3.9,11.7,31.65,4.715801333,1.61,2.37
7,46.3,11.7,195.9,3.9,11.7,31.65,9.100918259,1.61,2.37
8,46.3,11.7,195.9,3.9,11.7,31.65,4.846640982,1.61,2.37
9,46.3,11.7,195.9,3.9,11.7,31.65,1.970830922,1.61,2.37
10,46.3,11.7,195.9,3.9,11.7,31.65,0.508811339,1.61,2.37
